/* Format: 
 frame_1_idx frame_2_idx 
 num_of_matches
 frame_1_idx feature_idx frame_2_idx feature_idx */
2 4
120
2 462 4 167
2 128 4 391
2 92 4 102
2 297 4 313
2 329 4 364
2 456 4 375
2 186 4 37
2 410 4 377
2 233 4 161
2 310 4 47
2 110 4 65
2 81 4 86
2 354 4 527
2 355 4 359
2 42 4 137
2 39 4 27
2 29 4 20
2 264 4 43
2 163 4 180
2 101 4 13
2 25 4 103
2 70 4 25
2 30 4 30
2 151 4 93
2 197 4 211
2 284 4 136
2 91 4 39
2 279 4 117
2 385 4 417
2 214 4 66
2 465 4 243
2 227 4 298
2 117 4 485
2 116 4 275
2 160 4 72
2 211 4 341
2 191 4 8
2 106 4 82
2 246 4 356
2 189 4 173
2 206 4 9
2 58 4 38
2 208 4 306
2 3 4 517
2 149 4 51
2 275 4 232
2 127 4 221
2 13 4 34
2 184 4 262
2 308 4 418
2 8 4 480
2 245 4 87
2 515 4 264
2 153 4 238
2 104 4 166
2 293 4 284
2 48 4 147
2 294 4 410
2 109 4 21
2 318 4 77
2 148 4 174
2 247 4 114
2 54 4 84
2 4 4 297
2 158 4 245
2 88 4 28
2 87 4 451
2 188 4 15
2 196 4 460
2 401 4 259
2 96 4 163
2 201 4 184
2 35 4 271
2 10 4 100
2 415 4 133
2 5 4 0
2 143 4 18
2 546 4 482
2 140 4 239
2 14 4 176
2 65 4 185
2 187 4 120
2 94 4 316
2 17 4 217
2 223 4 535
2 79 4 19
2 356 4 476
2 61 4 11
2 338 4 159
2 20 4 143
2 64 4 40
2 16 4 269
2 422 4 303
2 38 4 36
2 1 4 118
2 261 4 331
2 9 4 22
2 255 4 208
2 519 4 466
2 114 4 144
2 259 4 242
2 533 4 324
2 534 4 487
2 542 4 549
2 69 4 169
2 225 4 57
2 353 4 441
2 312 4 145
2 450 4 395
2 36 4 198
2 274 4 430
2 11 4 99
2 18 4 90
2 134 4 315
2 45 4 95
2 62 4 50
2 130 4 17
2 150 4 365
2 321 4 378
2 83 4 91
